Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 136.751 NA 208 485 0 NA NA NA NA 328 607 0 NA NA NA NA 9036 20139 768 NA NA NA NA 2676 5952 797 NA NA NA
1491944400.0 136.752 NA 209 467 0 NA NA NA NA 315 571 0 NA NA NA NA 6074 13574 672 NA NA NA NA 1852 4316 692 NA NA NA
1491944400.0 136.753 NA 207 467 0 NA NA NA NA 312 570 0 NA NA NA NA 6551 17159 625 NA NA NA NA 2154 5250 639 NA NA NA
1491944400.0 136.754 NA 220 469 0 NA NA NA NA 319 564 0 NA NA NA NA 6743 14951 584 NA NA NA NA 3359 7190 594 NA NA NA
1491944400.0 136.755 NA 209 467 0 NA NA NA NA 320 572 0 NA NA NA NA 8070 18963 653 NA NA NA NA 2463 5540 669 NA NA NA
1491944400.0 136.757 NA 210 444 0 NA NA NA NA 311 568 0 NA NA NA NA 4899 12920 590 NA NA NA NA 1642 5281 598 NA NA NA
1491944400.0 136.758 NA 214 477 0 NA NA NA NA 324 586 0 NA NA NA NA 8697 19920 602 NA NA NA NA 3381 5959 611 NA NA NA
1491944400.0 136.759 NA 220 489 0 NA NA NA NA 332 615 0 NA NA NA NA 9161 23145 582 NA NA NA NA 2729 6753 590 NA NA NA
1491944400.0 136.76 NA 219 481 0 NA NA NA NA 348 617 0 NA NA NA NA 11201 24908 625 NA NA NA NA 3204 7207 636 NA NA NA
1491944400.0 136.761 NA 225 478 0 NA NA NA NA 328 665 0 NA NA NA NA 12248 26225 594 NA NA NA NA 3599 8395 602 NA NA NA
1491944400.0 136.762 NA 251 496 0 NA NA NA NA 365 640 0 NA NA NA NA 12924 29663 673 NA NA NA NA 3786 8993 683 NA NA NA
1491944400.0 136.763 NA 231 477 0 NA NA NA NA 336 599 0 NA NA NA NA 10630 23739 589 NA NA NA NA 3252 8135 595 NA NA NA
1491944400.0 136.764 NA 226 474 0 NA NA NA NA 330 594 0 NA NA NA NA 12937 22810 580 NA NA NA NA 4069 7427 589 NA NA NA
1491944400.0 136.765 NA 221 468 0 NA NA NA NA 320 592 0 NA NA NA NA 7765 20682 571 NA NA NA NA 3510 7887 583 NA NA NA
1491944400.0 136.766 NA 218 483 0 NA NA NA NA 341 601 0 NA NA NA NA 9314 23497 585 NA NA NA NA 2707 6630 592 NA NA NA
1491944400.0 136.767 NA 212 456 0 NA NA NA NA 313 578 0 NA NA NA NA 5184 18003 584 NA NA NA NA 2567 8378 591 NA NA NA
1491944400.0 136.768 NA 212 478 0 NA NA NA NA 335 586 0 NA NA NA NA 9802 22532 702 NA NA NA NA 2846 6552 724 NA NA NA
1491944400.0 136.769 NA 201 465 0 NA NA NA NA 310 559 0 NA NA NA NA 6238 15733 648 NA NA NA NA 2127 4954 658 NA NA NA
1491944400.0 136.77 NA 206 473 0 NA NA NA NA 311 581 0 NA NA NA NA 6863 16755 664 NA NA NA NA 2204 5225 672 NA NA NA
1491944400.0 136.771 NA 203 461 0 NA NA NA NA 315 555 0 NA NA NA NA 7171 16306 671 NA NA NA NA 2858 6495 681 NA NA NA
1491944400.0 136.772 NA 220 465 0 NA NA NA NA 318 573 0 NA NA NA NA 10347 17937 559 NA NA NA NA 4211 6796 567 NA NA NA
1491944400.0 136.773 NA 206 472 0 NA NA NA NA 323 586 0 NA NA NA NA 7972 17817 600 NA NA NA NA 3008 6896 608 NA NA NA
1491944400.0 136.774 NA 209 467 0 NA NA NA NA 320 563 0 NA NA NA NA 8351 17589 585 NA NA NA NA 3308 6807 590 NA NA NA
1491944400.0 136.775 NA 199 458 0 NA NA NA NA 311 553 0 NA NA NA NA 6804 16314 586 NA NA NA NA 2616 6433 596 NA NA NA
1491944400.0 136.776 NA 199 454 0 NA NA NA NA 297 550 0 NA NA NA NA 5721 14847 697 NA NA NA NA 1981 4638 705 NA NA NA
