Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 36.0 NA 89 198 0 NA NA NA NA NA 242 416 0 NA NA NA NA NA 1511 5431 344 NA NA NA NA NA 1618 5844 364 NA NA NA NA
1491944400.0 38.0 NA 84 190 0 NA NA NA NA NA 242 408 0 NA NA NA NA NA 2179 2857 551 NA NA NA NA NA 2335 3078 613 NA NA NA NA
1491944400.0 4.17 NA 29 201 0 122 NA NA NA NA 152 410 0 291 NA NA NA NA 64 2402 478 474 NA NA NA NA 77 2611 520 746 NA NA NA
1491944400.0 4.24 NA 53 211 0 NA NA NA NA NA 180 418 0 NA NA NA NA NA 69 2333 477 NA NA NA NA NA 102 2593 488 NA NA NA NA
1491944400.0 4.26 NA 53 215 0 NA NA NA NA NA 179 428 0 NA NA NA NA NA 69 2889 555 NA NA NA NA NA 101 3151 606 NA NA NA NA
1491944400.0 4.27 NA 53 217 0 NA NA NA NA NA 180 429 0 NA NA NA NA NA 79 3227 565 NA NA NA NA NA 118 3556 644 NA NA NA NA
1491944400.0 4.34 NA 59 223 0 NA NA NA NA NA 192 434 0 NA NA NA NA NA 99 2987 594 NA NA NA NA NA 201 3292 663 NA NA NA NA
1491944400.0 4.4 NA 25 209 0 NA NA NA NA NA 154 419 0 NA NA NA NA NA 72 3681 430 NA NA NA NA NA 96 3979 440 NA NA NA NA
1491944400.0 4.43 NA 27 206 0 NA NA NA NA NA 152 416 0 NA NA NA NA NA 66 3416 510 NA NA NA NA NA 85 3752 545 NA NA NA NA
1491944400.0 4.45 NA 28 217 0 NA NA NA NA NA 153 421 0 NA NA NA NA NA 99 10572 751 NA NA NA NA NA 168 11050 804 NA NA NA NA
